ISO8601,开始日期,结束日期,就寝时间,起床时间,睡眠时间,清醒时间,入睡时间,时间段,睡眠时间,7日平均睡眠时间,效率,7日平均效率,质量,7日平均质量,深度睡眠,7日平均深度睡眠时间,睡眠心跳数,7日平均睡眠心跳数,日心跳数,7日平均日心跳数,起床心跳数,7日平均起床心跳数,心率变异,7日平均心率变异,睡眠心率变异,7日平均睡眠心率变异,平均血氧饱和度,最小血氧饱和度,最大血氧饱和度,平均呼吸,最小呼吸,最大呼吸,选项卡,备注
2023-01-01T20:59:59+08:00,"2022年12月31日 星期六","2023年1月1日 星期日",2023-01-01 01:45:00,2023-01-01 09:16:00,07:31:00,00:39:00,00:00:00,1,06:52:00,07:14:40,91.4,86.4,04:53:22,05:22:23,01:28:17,01:29:07,62.3,62.9,73.6,76.6,59.0,59.7,109,92,64,61,,,,15.5,14.0,19.5,,
2023-01-02T20:59:59+08:00,"2023年1月1日 星期日","2023年1月2日 星期一",2023-01-01 23:45:00,2023-01-02 08:46:00,09:01:00,00:26:00,00:00:00,1,08:35:00,07:26:08,95.2,87.7,06:22:45,05:31:00,01:46:02,01:31:32,60.0,62.5,78.9,77.2,58.0,59.4,84,91,51,56,,,,15.3,14.0,19.0,,
2023-01-03T20:59:59+08:00,"2023年1月2日 星期一","2023年1月3日 星期二",2023-01-02 23:45:00,2023-01-03 07:58:00,08:13:00,00:27:00,00:00:00,1,07:46:00,07:35:08,94.5,86.9,05:10:24,05:33:48,01:56:30,01:37:31,59.3,62.1,72.2,76.6,58.0,59.4,74,88,51,55,,,,15.4,14.0,18.0,,
2023-01-04T20:59:59+08:00,"2023年1月3日 星期二","2023年1月4日 星期三",2023-01-04 01:05:00,2023-01-04 07:33:00,06:28:00,00:00:00,00:00:00,1,06:28:00,07:14:34,100.0,87.0,04:29:02,05:16:24,00:44:46,01:21:33,58.8,61.9,77.2,76.4,56.0,58.7,138,99,90,63,,,,15.2,14.0,19.5,,
2023-01-05T20:59:59+08:00,"2023年1月4日 星期三","2023年1月5日 星期四",2023-01-05 00:15:00,2023-01-05 07:42:00,07:47:00,00:27:00,00:00:00,2,07:20:00,07:15:42,94.0,90.8,05:12:20,05:13:54,01:22:25,01:22:18,60.1,61.8,73.1,75.9,55.0,57.6,58,87,44,57,,,,15.1,14.0,17.0,,
2023-01-06T20:59:59+08:00,"2023年1月5日 星期四","2023年1月6日 星期五",2023-01-06 00:50:00,2023-01-06 08:04:00,07:34:00,00:48:00,00:00:00,2,06:46:00,07:12:08,88.9,94.2,04:38:52,05:08:37,00:32:10,01:15:54,63.0,62.6,76.2,76.0,62.0,57.1,98,90,55,58,,,,15.5,14.5,18.0,,
2023-01-07T20:59:59+08:00,"2023年1月6日 星期五","2023年1月7日 星期六",2023-01-07 00:30:00,2023-01-07 09:00:00,08:30:00,00:19:00,00:00:00,1,08:11:00,07:25:25,96.3,94.3,05:45:44,05:13:13,01:29:16,01:19:55,63.5,61.0,75.1,75.2,59.0,58.1,157,102,67,60,,,,15.2,13.5,17.5,,
2023-01-08T20:59:59+08:00,"2023年1月7日 星期六","2023年1月8日 星期日",2023-01-08 00:22:00,2023-01-08 10:33:00,10:11:00,00:10:00,00:00:00,1,10:01:00,07:52:25,98.4,95.3,06:44:29,05:29:05,01:00:06,01:15:53,62.9,61.1,70.5,74.7,59.0,58.1,101,101,65,61,,,,15.1,13.5,17.5,,
2023-01-09T20:59:59+08:00,"2023年1月8日 星期日","2023年1月9日 星期一",2023-01-09 00:15:00,2023-01-09 07:32:00,07:17:00,00:14:00,00:00:00,1,07:03:00,07:39:17,96.8,95.6,04:53:05,05:16:17,01:15:32,01:11:32,57.2,60.7,71.0,73.6,54.0,57.6,78,100,59,62,,,,15.0,13.5,19.0,,
2023-01-10T20:59:59+08:00,"2023年1月9日 星期一","2023年1月10日 星期二",2023-01-10 00:30:00,2023-01-10 07:50:00,07:20:00,00:00:00,00:00:00,1,07:20:00,07:35:34,100.0,96.3,05:08:44,05:16:02,01:15:52,01:05:43,60.1,60.8,72.1,73.6,56.0,57.3,66,99,44,61,,,,15.1,13.0,22.0,,
